adm0_id,adm1_id,population
130,900753,574359
130,900754,133242
130,900755,3685257
130,900756,1783270
130,900757,309638
130,900758,175563
130,900759,236312
130,900760,1515727
133,51325,4877736
133,51326,4241198
133,51327,6628909
133,51328,4475266
133,51329,5609004
133,51330,6451845
133,51331,13819632
133,51332,5289419
138,901034,576675
138,901035,992536
138,901036,851648
138,901037,457504
138,901038,1314748
138,901039,294717
138,901040,1391658
138,901041,183465
138,901042,252850
139,900620,158819
139,900621,186619
139,900622,368847
139,900623,751962
139,900624,319197
139,900625,431133
139,900626,201294
139,900627,454995
139,900628,352114
139,900629,199123
139,900630,432326
139,900631,956320
139,900632,143069
139,900633,403327
139,900634,969235
139,900635,376274
139,900636,88921
139,900637,267930
141,900940,366117
141,900941,381200
141,900942,598717
141,900943,795306
141,900944,137592
141,900945,879603
141,900946,3169126
141,900947,521263
142,900903,313462
142,900904,119951
142,900905,310337
142,900906,184000
142,900907,515480
142,900908,182497
142,900909,127443
142,900910,76899
142,900911,134833
142,900912,143229
144,900818,110533
144,900819,438197
144,900820,109573
144,900821,291307
144,900822,166979
144,900823,164590
144,900824,76098
144,900825,363801
144,900826,275841
144,900827,178624
144,900828,1469380
144,900829,607107
144,900830,87761
144,900831,93964
144,900832,134543
145,900169,1908703
145,900170,4246071
145,900171,523793
150,899997,4024795
150,899995,882088
150,899994,807418
150,899993,1582561
150,899992,1080117
150,1881,1527185
150,899991,352773
150,899986,375351
150,899999,1234447
150,899998,859365
150,899996,1244087
150,899990,961100
150,899989,549694
150,899988,841329
150,899987,1441255
150,899985,880767
150,899984,348053
150,899983,711639
150,899982,1178796
150,899981,1498769
150,899980,2167330
150,899979,1702391
152,1888,8045958
152,1889,2389722
152,1890,7707619
155,1930,4036499
155,1933,3284796
155,1931,2330137
155,1932,2709545
155,1934,763824
155,1926,2781741
155,1927,724465
155,1928,2380144
155,1929,66535
159,2004,59928
159,2005,384824
159,2006,359598
159,2007,143441
159,2008,395709
159,2009,337679
159,2010,602045
159,2011,356284
159,2012,26082
159,2013,1309285
159,2014,83447
159,2015,60847
159,2016,284150
169,2107,2584488
169,2109,2221503
169,2111,3948965
169,147326,2213921
169,147327,2312585
169,147328,1996258
169,147329,2203575
169,147330,4525635
169,147331,413272
169,147332,13325
169,147334,2925727
169,147335,3849898
169,147336,1701135
169,147337,3238404
169,147338,1880448
170,900948,2107193
170,900949,1443790
170,900950,1426568
170,900951,2264372
170,900952,2129141
170,900954,5705238
170,900955,2054783
170,900956,2217167
170,900957,3399716
170,900958,5518327
170,900953,1229665
273,901127,6326380
273,901128,3047756
273,901129,2094482
273,901130,535443
273,901131,2004262
273,901132,315031
273,901133,1640768
273,901134,3896784
273,901135,6307791
273,901136,1905844
273,901137,516785
273,901138,1951092
273,901139,5745970
273,901140,1065480
273,901141,3001294
273,901142,2873896
273,901143,1490697
273,901144,8988641
172,900789,195342
172,900790,86927
172,900791,80002
172,900792,145270
172,900793,81133
172,900794,428787
172,900795,99443
172,900796,246287
172,900797,72244
172,900798,242488
172,900799,182206
172,900800,194159
172,900801,148467
172,900802,97238
175,900611,5755368
175,900612,5521270
175,900613,7425787
175,900614,1611953
175,900615,3614914
175,900616,1031111
175,900617,3127468
180,900306,457543
180,900307,389576
180,900308,172426
180,900309,183805
180,900310,415099
180,900311,178807
180,900312,215590
180,900313,198849
180,900314,431075
180,900315,394489
180,900316,160194
180,900317,1435800
180,900318,356962
180,900319,546349
180,900320,246821
180,900321,124150
180,900322,169967
181,2203,765478
181,2206,897588
181,2202,510554
181,2204,2446823
181,2205,4373921
181,2207,4634664
181,2208,3924865
181,2209,4889058
182,65698,3802539
182,2221,4346654
182,2211,4946724
182,2212,5449818
182,2213,5494926
182,65699,7222452
182,65700,2394195
182,2215,6282546
182,2216,5884116
182,2217,3666248
182,2218,5746119
182,65701,2900754
182,2219,4275642
182,65702,3263741
182,65703,4361568
182,65704,3545037
182,2222,5464002
182,2223,6366194
182,2224,9391404
182,2225,14936166
182,2226,7831200
182,2227,4915325
182,2228,4510378
182,2229,3201976
182,2230,12631475
182,65705,2536680
182,2231,6109666
182,2232,5408787
182,65706,4701603
182,2234,4762863
182,2235,7926302
182,65707,4620441
182,65708,7216862
182,65709,5417315
182,2239,3402075
182,2240,4340967
182,65710,3483746
188,900437,7928618
188,900438,4834419
188,900439,1906837
188,900440,30373440
188,900441,119809167
188,900442,47362548
274,900979,196728
274,900980,129071
274,900981,292293
274,900982,322682
274,900983,298003
274,900984,206742
274,900985,649073
274,900986,617581
274,900987,435901
274,900988,550261
274,900989,695031
274,900990,703982
274,900991,581117
274,900992,493991
274,900993,254213
274,900994,49281
274,900995,188997
274,900996,295472
274,900997,281647
274,900998,274673
274,900999,557039
274,901000,532539
195,900326,307246
195,900327,1075420
195,900328,392733
195,900329,1428585
195,900330,725385
195,900331,1414958
195,900332,1266118
195,900333,530909
195,900334,825495
195,900335,808098
195,900336,1448217
195,900337,1890678
195,900338,1201948
195,900339,10330171
195,900340,1067520
195,900341,164139
195,900342,182612
195,900343,333531
195,900344,1834435
195,900345,1190710
195,900346,1420770
195,900347,1007633
195,900348,349276
195,900349,231227
195,900350,561444
275,900566,5377227
275,900567,5586838
275,900568,5580762
275,900569,4894591
275,900570,3880675
275,900571,11833300
275,900572,16041611
275,900573,3322592
275,900574,6363946
275,900575,7689028
275,900576,7908785
275,900577,4529907
275,900578,3833169
275,900579,2339024
275,900580,2026127
275,900581,2887333
275,900582,12557006
165,2062,350578
165,2063,257451
165,2064,930210
165,2066,618986
165,2067,216975
165,2068,91918
165,2069,240832
165,2070,204439
165,2071,292367
165,2072,158963
165,2073,183165
205,900110,1523550
205,900111,3450120
205,900112,1764861
205,900113,2692638
205,900114,2870770
214,2620,8022
214,2621,203006
278,900729,1116128
278,900730,185354
278,900731,817144
278,900732,699178
278,900733,826339
278,900734,2108477
278,900735,658091
